case_type,model,scenario_idx,n_turns,agreement_type,score_a,score_b,joint_score,alloc_a
pareto_dominated,gemini-3.1-pro-preview,57,15,implicit,2,8,10,"{""wig"": 0, ""prop sword"": 2, ""mask"": 2}"
one_sided_deal,gemini-3.1-pro-preview,57,15,implicit,2,8,10,"{""wig"": 0, ""prop sword"": 2, ""mask"": 2}"
pareto_dominated,gemini-3.1-pro-preview,5,15,implicit,9,5,14,"{""cutting board"": 1, ""mixing bowl"": 0, ""spatula"": 4}"
pareto_dominated,gemini-3.1-pro-preview,64,15,implicit,2,8,10,"{""snow globe"": 0, ""shot glass"": 2, ""bumper sticker"": 2}"
one_sided_deal,gemini-3.1-pro-preview,64,15,implicit,2,8,10,"{""snow globe"": 0, ""shot glass"": 2, ""bumper sticker"": 2}"
pareto_dominated,gemini-3.1-pro-preview,72,15,implicit,6,6,12,"{""cone"": 0, ""bib"": 2, ""training ball"": 3}"
pareto_dominated,gemini-3.1-pro-preview,74,15,implicit,4,7,11,"{""goggle set"": 0, ""swim cap"": 3, ""kickboard"": 2}"
pareto_dominated,gemini-3.1-pro-preview,75,15,implicit,7,4,11,"{""tennis ball can"": 1, ""grip tape"": 0, ""dampener pack"": 0}"
pareto_dominated,gemini-3.1-pro-preview,76,15,implicit,4,8,12,"{""running sock pair"": 2, ""arm sleeve"": 0, ""visor"": 2}"
pareto_dominated,gemini-3.1-pro-preview,77,15,implicit,8,4,12,"{""knee pad pair"": 0, ""ball pump"": 1, ""net clip"": 0}"
pareto_dominated,gemini-3.1-pro-preview,90,15,implicit,6,8,14,"{""circuit board"": 2, ""LED strip"": 0, ""sensor module"": 3}"
pareto_dominated,gemini-3.1-pro-preview,91,15,implicit,8,6,14,"{""controller"": 0, ""headset"": 1, ""charging cable"": 0}"
pareto_dominated,gemini-3.1-pro-preview,97,15,implicit,6,5,11,"{""ring light"": 0, ""webcam mount"": 2, ""green screen"": 1}"
